question-word,answer-word,guess-word,label
enormously,tremendously,uniquely,correct
provisions,stipulations,provisions,correct
haphazardly,randomly,densely,correct
prominent,conspicuous,mysterious,correct
zenith,pinnacle,completion,correct
flawed,imperfect,tiny,correct
urgently,desperately,tentatively,correct
consumed,eaten,caught,correct
advent,coming,advent,correct
concisely,succinctly,freely,correct
salutes,greetings,information,wrong
solitary,alone,alert,wrong
hasten,accelerate,determine,correct
perseverance,endurance,skill,wrong
fanciful,imaginative,familiar,correct
showed,demonstrated,showed,correct
constantly,continually,instantly,correct
issues,subjects,salaries,correct
furnish,supply,supply,wrong
costly,expensive,costly,correct
recognized,acknowledged,depicted,correct
spot,location,sea,correct
make,earn,make,correct
often,frequently,definitely,correct
easygoing,relaxed,farming,correct
debate,argument,war,correct
narrow,thin,freezing,correct
arranged,planned,arranged,correct
infinite,limitless,infinite,correct
showy,striking,striking,wrong
levied,imposed,levied,correct
deftly,skillfully,deftly,correct
distribute,circulate,distribute,wrong
discrepancies,differences,wavelengths,correct
prolific,productive,prolific,correct
unmatched,unequaled,unrecognized,correct
peculiarly,uniquely,partly,correct
hue,color,contrast,correct
hind,rear,hairy,correct
highlight,accentuate,imitate,correct
hastily,hurriedly,hastily,correct
temperate,mild,cold,correct
grin,smile,joke,correct
verbally,orally,verbally,correct
physician,doctor,nurse,correct
essentially,basically,eagerly,correct
keen,sharp,keen,wrong
situated,positioned,emptying,correct
principal,major,numerous,correct
slowly,gradually,rarely,correct
built,constructed,built,correct
tasks,jobs,shops,correct
unlikely,improbable,unlikely,correct
halfheartedly,apathetically,bipartisanly,correct
annals,chronicles,trails,correct
wildly,furiously,abruptly,correct
hailed,acclaimed,acclaimed,wrong
command,mastery,awareness,correct
concocted,devised,concocted,correct
prospective,potential,prudent,correct
generally,broadly,descriptively,correct
sustained,prolonged,sustained,correct
perilous,dangerous,offensive,correct
tranquillity,peacefulness,happiness,guess
dissipate,disperse,dissipate,correct
primarily,chiefly,consistently,correct
colloquial,conversational,incorrect,correct
resolved,settled,forgotten,correct
feasible,possible,permitted,correct
expeditiously,rapidly,actually,correct
percentage,proportion,sample,correct
terminated,ended,posed,wrong
uniform,alike,complex,correct
figure,solve,list,correct
sufficient,enough,physiological,correct
fashion,manner,craze,correct
marketed,sold,frozen,correct
bigger,larger,closer,correct
roots,origins,roots,correct
normally,ordinarily,haltingly,correct
